%time,CO2air,co2_dos
43815,472,    NaN
43815.00347,501,0.0003
43815.00694,489,0.0004
43815.01042,497,0.002
43815.01389,477,0.0016
43815.01736,492,0.0011
43815.02083,494,0.0006
43815.02431,496,0.0006
43815.02778,498,0.0006
43815.03125,495,0.0005
43815.03472,496,0.0005
43815.03819,492,0.0004
43815.04167,489,0.0003
43815.04514,500,0.0005
43815.04861,495,0.0006
43815.05208,525,0.0008
43815.05556,496,0.0006
43815.05903,498,0.0004
43815.0625,514,0.0003
43815.06597,496,0.0002
43815.06944,492,0.0001
43815.07292,483,0
43815.07639,500,0.0001
43815.07986,496,0.0002
43815.08333,514,0.0003
43815.08681,498,0.0002
43815.09028,497,0.0001
43815.09375,497,0
43815.09722,493,0
43815.10069,492,0
43815.10417,493,0
43815.10764,487,0
43815.11111,492,0
43815.11458,494,0
43815.11806,492,0
43815.12153,490,0.0001
43815.125,495,0.0001
43815.12847,498,0.0001
43815.13194,498,0.0001
43815.13542,501,0.0001
43815.13889,485,0.0001
43815.14236,495,0
43815.14583,493,0
43815.14931,487,0.0001
43815.15278,498,0.0001
43815.15625,493,0.0002
43815.15972,495,0.0002
43815.16319,490,0.0002
43815.16667,511,0.0003
43815.17014,495,0.0002
43815.17361,495,0.0001
43815.17708,493,0
43815.18056,495,0.0001
43815.18403,503,0.0001
43815.1875,495,0.0002
43815.19097,494,0.0002
43815.19444,510,0.0003
43815.19792,504,0.0004
43815.20139,495,0.0003
43815.20486,510,0.0002
43815.20833,490,0.0001
43815.21181,498,0.0002
43815.21528,517,0.0003
43815.21875,504,0.0003
43815.22222,496,0.0002
43815.22569,497,0.0001
43815.22917,495,0
43815.23264,498,0
43815.23611,493,0
43815.23958,494,0
43815.24306,498,0
43815.24653,492,0
43815.25,502,0
43815.25347,488,0
43815.25694,498,0.0001
43815.26042,497,0.0001
43815.26389,494,0.0002
43815.26736,498,0.0003
43815.27083,493,0.0004
43815.27431,522,0.0003
43815.27778,500,0.0001
43815.28125,504,0
43815.28472,490,0.0001
43815.28819,493,0.0002
43815.29167,508,0.0004
43815.29514,520,0.0002
43815.29861,498,0.0001
43815.30208,497,0
43815.30556,500,0
43815.30903,493,0
43815.3125,500,0
43815.31597,497,0
43815.31944,503,0.0001
43815.32292,496,0.0001
43815.32639,504,0.0002
43815.32986,495,0.0004
43815.33333,506,0.0005
43815.33681,531,0.0003
43815.34028,495,0.0002
43815.34375,509,0
43815.34722,495,0.001
43815.35069,506,0.002
43815.35417,524,0.003
43815.35764,679,0.0046
43815.36111,724,0.0062
43815.36458,736,0.0078
43815.36806,673,0.0062
43815.37153,706,0.0045
43815.375,702,0.0028
43815.37847,715,0.0019
43815.38194,705,0.001
43815.38542,685,0
43815.38889,689,0
43815.39236,664,0
43815.39583,691,0
43815.39931,684,0
43815.40278,674,0
43815.40625,636,0
43815.40972,689,0
43815.41319,686,0
43815.41667,627,0
43815.42014,675,0
43815.42361,631,0
43815.42708,672,0
43815.43056,614,0
43815.43403,639,0
43815.4375,647,0
43815.44097,653,0
43815.44444,629,0
43815.44792,632,0
43815.45139,614,0
43815.45486,627,0
43815.45833,610,0
43815.46181,626,0
43815.46528,644,0
43815.46875,627,0
43815.47222,619,0.0001
43815.47569,640,0.0003
43815.47917,620,0.0004
43815.48264,657,0.0003
43815.48611,622,0.0001
43815.48958,637,0
43815.49306,607,0.0003
43815.49653,654,0.0007
43815.5,617,0.001
43815.50347,664,0.0009
43815.50694,641,0.0007
43815.51042,648,0.0006
43815.51389,648,0.0007
43815.51736,642,0.0008
43815.52083,653,0.0009
43815.52431,676,0.0006
43815.52778,629,0.0003
43815.53125,667,0
43815.53472,611,0.0001
43815.53819,622,0.0001
43815.54167,647,0.0002
43815.54514,637,0.0001
43815.54861,611,0.0001
43815.55208,611,0
43815.55556,603,0.0002
43815.55903,609,0.0004
43815.5625,619,0.0005
43815.56597,664,0.0007
43815.56944,612,0.0008
43815.57292,672,0.0009
43815.57639,641,0.0009
43815.57986,635,0.001
43815.58333,658,0.001
43815.58681,665,0.001
43815.59028,694,0.0009
43815.59375,655,0.0009
43815.59722,640,0.0006
43815.60069,701,0.0003
43815.60417,606,0
43815.60764,590,0.001
43815.61111,656,0.002
43815.61458,722,0.0029
43815.61806,720,0.002
43815.62153,674,0.0011
43815.625,652,0.0002
43815.62847,683,0.0015
43815.63194,680,0.0027
43815.63542,830,0.0039
43815.63889,805,0.0026
43815.64236,650,0.0013
43815.64583,645,0
43815.64931,673,0
43815.65278,629,0
43815.65625,637,0
43815.65972,654,0
43815.66319,615,0
43815.66667,643,0
43815.67014,647,0
43815.67361,644,0
43815.67708,601,0
43815.68056,627,0
